# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       2.507961505142e+05       1.196116982860e-08       1.841637626929e+00       1.366552540549e+05       1.389224949444e+04       5.539237374093e-02       3.484136587439e+09       1.062484523810e+00       1.088602840866e+10       4.300237796712e+07       2.150118898356e+08       3.815924191813e-08       7.530615784338e+09       1.867465846080e+10       2.186827884187e-04       6.880197908331e-02 
       2.490527322364e+05       1.212882423884e-08       1.854484407433e+00       1.347684543359e+05       1.389223664766e+04       5.578007814988e-02       3.459913386212e+09       1.069890614837e+00       1.058647287645e+10       4.211180353091e+07       2.105590176545e+08       3.815924191813e-08       7.323392586451e+09       1.816253628409e+10       2.187878527003e-04       6.891064343455e-02 
       2.473214330569e+05       1.229882586234e-08       1.867420492026e+00       1.329077497231e+05       1.389222371158e+04       5.617049589831e-02       3.435858568918e+09       1.077348111758e+00       1.029516029506e+10       4.123967264809e+07       2.061983632404e+08       3.815924191813e-08       7.121871605499e+09       1.766446993645e+10       2.188931340637e-04       6.902017594180e-02 
       2.456021687317e+05       1.247120750367e-08       1.880446497169e+00       1.310727790003e+05       1.389221068557e+04       5.656364597132e-02       3.411970965066e+09       1.084857368340e+00       1.001186384198e+10       4.038560335972e+07       2.019280167986e+08       3.815924191813e-08       6.925895932723e+09       1.718007339486e+10       2.189986341045e-04       6.913058214094e-02 
       2.438948556026e+05       1.264600242467e-08       1.893563043519e+00       1.292631859537e+05       1.389219756903e+04       5.695954748679e-02       3.388249412299e+09       1.092418740745e+00       9.736362936171e+09       3.954922161707e+07       1.977461080854e+08       3.815924191813e-08       6.735312977030e+09       1.670897124290e+10       2.191043544298e-04       6.924186760054e-02 
       2.421994105927e+05       1.282324435084e-08       1.906770755959e+00       1.274786193024e+05       1.389218436132e+04       5.735821969631e-02       3.364692756341e+09       1.100032587540e+00       9.468443066355e+09       3.873016111777e+07       1.936508055888e+08       3.815924191813e-08       6.549974346188e+09       1.625079837925e+10       2.192102966584e-04       6.935403792199e-02 
       2.405157512028e+05       1.300296747771e-08       1.920070263621e+00       1.257187326301e+05       1.389217106181e+04       5.775968198612e-02       3.341299850939e+09       1.107699269719e+00       9.207895623968e+09       3.792806314541e+07       1.896403157270e+08       3.815924191813e-08       6.369735731281e+09       1.580519973412e+10       2.193164624211e-04       6.946709873970e-02 
       2.388437955069e+05       1.318520647741e-08       1.933462199917e+00       1.239831843177e+05       1.389215766987e+04       5.816395387803e-02       3.318069557810e+09       1.115419150713e+00       8.954517740740e+09       3.714257641243e+07       1.857128820621e+08       3.815924191813e-08       6.194456794353e+09       1.537182999357e+10       2.194228533605e-04       6.958105572120e-02 
       2.371834621488e+05       1.336999650530e-08       1.946947202561e+00       1.222716374770e+05       1.389214418487e+04       5.857105503038e-02       3.295000746582e+09       1.123192596409e+00       8.708112130741e+09       3.637335690629e+07       1.818667845315e+08       3.815924191813e-08       6.024001059135e+09       1.495035333131e+10       2.195294711314e-04       6.969591456728e-02 
       2.355346703377e+05       1.355737320664e-08       1.960525913613e+00       1.205837598849e+05       1.389213060616e+04       5.898100523901e-02       3.272092294740e+09       1.131019975165e+00       8.468486936772e+09       3.562006773879e+07       1.781003386940e+08       3.815924191813e-08       5.858235804784e+09       1.454044314799e+10       2.196363174006e-04       6.981168101220e-02 
       2.338973398442e+05       1.374737272340e-08       1.974198979487e+00       1.189192239191e+05       1.389211693309e+04       5.939382443818e-02       3.249343087572e+09       1.138901657827e+00       8.235455580982e+09       3.488237899853e+07       1.744118949926e+08       3.815924191813e-08       5.697031962549e+09       1.414178181752e+10       2.197433938470e-04       6.992836082377e-02 
       2.322713909971e+05       1.394003170116e-08       1.987967050998e+00       1.172777064941e+05       1.389210316502e+04       5.980953270160e-02       3.226752018118e+09       1.146838017745e+00       8.008836619596e+09       3.415996760642e+07       1.707998380321e+08       3.815924191813e-08       5.540264015271e+09       1.375406044051e+10       2.198507021620e-04       7.004595980350e-02 
       2.306567446786e+05       1.413538729611e-08       2.001830783378e+00       1.156588889984e+05       1.389208930129e+04       6.022815024333e-02       3.204317987108e+09       1.154829430787e+00       7.788453601642e+09       3.345251717421e+07       1.672625858710e+08       3.815924191813e-08       5.387809899655e+09       1.337697860434e+10       2.199582440493e-04       7.016448378680e-02 
       2.290533223209e+05       1.433347718210e-08       2.015790836313e+00       1.140624572328e+05       1.389207534123e+04       6.064969741882e-02       3.182039902918e+09       1.162876275358e+00       7.574134931560e+09       3.275971786590e+07       1.637985893295e+08       3.815924191813e-08       5.239550911233e+09       1.301024414999e+10       2.200660212249e-04       7.028393864307e-02 
