# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:dens[1]-dens[1]        4:dens[1]-dens[2]        5:dens[1]-dens[3]        6:dens[1]-dens[4]        7:dens[1]-dens[5]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[3]-dens[3]       13:dens[3]-dens[4]       14:dens[3]-dens[5]       15:dens[4]-dens[4]       16:dens[4]-dens[5]       17:dens[5]-dens[5]    
 1988       4.498183208114e-11       6.140826532750e-03       5.096120181568e-03       1.275303708581e-03       2.284951890741e-04       8.364146274968e-04       1.308032193710e-02       5.353874916219e-03       5.753066643137e-04       1.412495702168e-03       1.456263734381e-02       5.614120616674e-03       3.071013533655e-03       1.267944870665e-02       6.303083818559e-03       7.286186451196e-03 
 1989       4.506876535283e-11       6.141622278851e-03       5.096930799356e-03       1.275535701208e-03       2.285354583514e-04       8.365295241311e-04       1.308248177940e-02       5.354826462869e-03       5.754117524467e-04       1.412735338718e-03       1.456538587344e-02       5.615227004964e-03       3.071605614423e-03       1.268210512134e-02       6.304421003398e-03       7.287829748760e-03 
 1990       4.507960611591e-11       6.142514137102e-03       5.097821430906e-03       1.275787751818e-03       2.285793181214e-04       8.366575124882e-04       1.308484706638e-02       5.355862174273e-03       5.755258847581e-04       1.412997167719e-03       1.456836352473e-02       5.616421774211e-03       3.072246031000e-03       1.268496131008e-02       6.305857467521e-03       7.289588178073e-03 
 1991       4.501731602536e-11       6.143484854540e-03       5.098777700205e-03       1.276056251857e-03       2.286261223726e-04       8.367962402901e-04       1.308738086975e-02       5.356966910059e-03       5.756474333562e-04       1.413277199000e-03       1.457152905494e-02       5.617689007264e-03       3.072926081155e-03       1.268798126497e-02       6.307375306944e-03       7.291440992072e-03 
 1992       4.488486932839e-11       6.144517107966e-03       5.099785172720e-03       1.276337578083e-03       2.286752224639e-04       8.369433456829e-04       1.309004611096e-02       5.358125468227e-03       5.757747637230e-04       1.413571426149e-03       1.457484105345e-02       5.619012722183e-03       3.073637027230e-03       1.269112883156e-02       6.308956544808e-03       7.293367359249e-03 
 1993       4.468525288061e-11       6.145593503861e-03       5.100829355326e-03       1.276628092543e-03       2.287259671212e-04       8.370964572253e-04       1.309280556092e-02       5.359322585068e-03       5.759062347057e-04       1.413875826491e-03       1.457825794157e-02       5.620376872156e-03       3.074370096106e-03       1.269436770866e-02       6.310583131290e-03       7.295346363546e-03 
 1994       4.442146616208e-11       6.146696578291e-03       5.101895696229e-03       1.276924142562e-03       2.287777024344e-04       8.372531938759e-04       1.309562183982e-02       5.360542935090e-03       5.760401985086e-04       1.414186361066e-03       1.458173797229e-02       5.621765345420e-03       3.075116479148e-03       1.269766144811e-02       6.312236943509e-03       7.297357004246e-03 
 1995       4.409652129339e-11       6.147808796823e-03       5.102969584894e-03       1.277222060720e-03       2.288297718535e-04       8.374111649819e-04       1.309845741700e-02       5.361771130936e-03       5.761750006846e-04       1.414498974612e-03       1.458523923011e-02       5.623161965177e-03       3.075867332170e-03       1.270097345469e-02       6.313899785435e-03       7.299378195864e-03 
 1996       4.371344305179e-11       6.148912554437e-03       5.104036351969e-03       1.277518164833e-03       2.288815161860e-04       8.375679702664e-04       1.310127461069e-02       5.362991723311e-03       5.763089801270e-04       1.414809595542e-03       1.458871963078e-02       5.624550489515e-03       3.076613775383e-03       1.270426698582e-02       6.315553387795e-03       7.301388768050e-03 
 1997       4.327526888727e-11       6.149990175434e-03       5.105081269214e-03       1.277808757937e-03       2.289322735928e-04       8.377211998164e-04       1.310403558787e-02       5.364189200903e-03       5.764404690609e-04       1.415114135924e-03       1.459213692115e-02       5.625914611322e-03       3.077346893352e-03       1.270750515147e-02       6.317179407987e-03       7.303367465471e-03 
 1998       4.278504893864e-11       6.151023913350e-03       5.106089549429e-03       1.278090128267e-03       2.289813795857e-04       8.378684340711e-04       1.310670236406e-02       5.365347990301e-03       5.765677930350e-04       1.415408491462e-03       1.459544867890e-02       5.627237958209e-03       3.078057734954e-03       1.271065091394e-02       6.318759429980e-03       7.305292947713e-03 
 1999       4.224584604963e-11       6.151995950867e-03       5.107046346372e-03       1.278358549241e-03       2.290281670234e-04       8.380072438096e-04       1.310923680311e-02       5.366452455924e-03       5.766892709132e-04       1.415688541473e-03       1.459861231234e-02       5.628504092427e-03       3.078737313333e-03       1.271366708765e-02       6.320274964227e-03       7.307143789171e-03 
 2000       4.166073578499e-11       6.152888399723e-03       5.107936754696e-03       1.278610279440e-03       2.290719661086e-04       8.381351901385e-04       1.311160061707e-02       5.367486899938e-03       5.768032148663e-04       1.415950148868e-03       1.460158506025e-02       5.629696510782e-03       3.079376605850e-03       1.271651633901e-02       6.321707447576e-03       7.308898478942e-03 
 2001       4.103280644659e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
 2002       4.036515908948e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
 2003       3.966090753802e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
 2004       3.892317840196e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
 2005       3.815511109252e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
 2006       3.735985783851e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
 2007       3.654058370240e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
 2008       3.570046659641e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
 2009       3.484269729864e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
 2010       3.397047946912e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
 2011       3.308702966593e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
 2012       3.219557736127e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
 2013       3.129936495757e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
 2014       3.040164780361e-11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
