# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02968e-05 to 1.74227 h/Mpc,
# number of wavenumbers equal to 571
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_ur                  14:t_ncdm[0]             15:t_tot              
       3.489368975878e-02      -6.961443767645e-01      -4.195406897001e+03      -4.221960020151e+03      -6.944667771580e-01      -1.145048593610e+03      -4.203099749125e+03       1.736166942895e-01       1.736166942719e-01      -1.189889423666e-04       5.050207046954e-01       5.050984754686e-01      -1.183657093322e-04       2.259187737486e-01       5.037029441564e-01 
       3.505403467342e-02      -6.930512081661e-01      -4.215165305977e+03      -4.241957153998e+03      -6.913810585055e-01      -1.144774005300e+03      -4.222963955372e+03       1.728452646264e-01       1.728452646090e-01      -1.184608185327e-04       5.074093791041e-01       5.074876635390e-01      -1.178403525408e-04       2.261352963236e-01       5.060817905140e-01 
       3.521525214414e-02      -6.899643973785e-01      -4.235005353845e+03      -4.262036016869e+03      -6.883016823671e-01      -1.144471273185e+03      -4.242909376407e+03       1.720754205918e-01       1.720754205745e-01      -1.179337762015e-04       5.098078277929e-01       5.098866251455e-01      -1.173160715732e-04       2.263480549797e-01       5.084703482919e-01 
       3.537736899536e-02      -6.868837612309e-01      -4.254931170975e+03      -4.282200703562e+03      -6.852284660151e-01      -1.144140942681e+03      -4.262940096444e+03       1.713071165038e-01       1.713071164867e-01      -1.174077840933e-04       5.122165419347e-01       5.122958513050e-01      -1.167928353145e-04       2.265573536124e-01       5.108691075565e-01 
       3.554041311677e-02      -6.838090880656e-01      -4.274946915669e+03      -4.302455346635e+03      -6.821611983018e-01      -1.143783784353e+03      -4.283060236636e+03       1.705402995754e-01       1.705402995586e-01      -1.168828058731e-04       5.146360161924e-01       5.147158368824e-01      -1.162706076191e-04       2.267634827969e-01       5.132785620866e-01 
       3.570441351839e-02      -6.807401893657e-01      -4.295057119374e+03      -4.322804427524e+03      -6.790996911630e-01      -1.143400853716e+03      -4.303274270672e+03       1.697749227908e-01       1.697749227740e-01      -1.163588092320e-04       5.170667882941e-01       5.171471190802e-01      -1.157493563462e-04       2.269667192771e-01       5.156992478605e-01 
       3.586940038922e-02      -6.776768629355e-01      -4.315266406064e+03      -4.343252546812e+03      -6.760437428964e-01      -1.142993389994e+03      -4.323586787229e+03       1.690109357241e-01       1.690109357076e-01      -1.158357599731e-04       5.195094102562e-01       5.195902502168e-01      -1.152290474829e-04       2.271672964308e-01       5.181317155752e-01 
       3.603540515972e-02      -6.746188772739e-01      -4.335579501397e+03      -4.363804387677e+03      -6.729931225548e-01      -1.142562763561e+03      -4.344002460934e+03       1.682482806387e-01       1.682482806223e-01      -1.153136182886e-04       5.219644429488e-01       5.220457909506e-01      -1.147096414266e-04       2.273654131210e-01       5.205765241630e-01 
       3.620246056846e-02      -6.715660232073e-01      -4.356001488349e+03      -4.384464995147e+03      -6.699476214711e-01      -1.142110489800e+03      -4.364526326479e+03       1.674869053678e-01       1.674869053515e-01      -1.147923486975e-04       5.244324919351e-01       5.245143467766e-01      -1.141911028852e-04       2.275612211109e-01       5.230342769535e-01 
       3.637060073331e-02      -6.685180732356e-01      -4.376537615664e+03      -4.405239579860e+03      -6.669070126918e-01      -1.141638114617e+03      -4.385163583563e+03       1.667267531729e-01       1.667267531569e-01      -1.142719123200e-04       5.269141814446e-01       5.269965418914e-01      -1.136733931813e-04       2.277548196774e-01       5.255055956555e-01 
