#scalar perturbations for mode k = 1.500000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       4.861104012486e+00       1.058467942567e-05      -1.211007383934e+00       3.275028159950e-04       2.632428350451e-08       6.581070876128e-08       4.464404635333e-14       1.316214175226e-08      -9.082555379502e-01       3.275028160164e-04       6.011598080973e-01       6.975139562790e-01      -1.211007368584e+00       3.274239916450e-04       2.126372120213e-04      -9.082555612377e-01       3.276622009754e-04 
       4.876923769423e+00       1.061944120009e-05      -1.211044480655e+00       3.285649815880e-04       2.658338826691e-08       6.645847066727e-08       4.538007780388e-14       1.329169413345e-08      -9.082833604916e-01       3.285649816119e-04       6.011592415075e-01       6.975064119041e-01      -1.211044463635e+00       3.284853816364e-04       2.140205483255e-04      -9.082833863129e-01       3.287259207832e-04 
       4.892743526360e+00       1.065420502118e-05      -1.211081582367e+00       3.296271123089e-04       2.684419497838e-08       6.711048744596e-08       4.612581540515e-14       1.342209748919e-08      -9.083111867754e-01       3.296271123352e-04       6.011586741025e-01       6.974988718827e-01      -1.211081563660e+00       3.295467316662e-04       2.154083590283e-04      -9.083112151551e-01       3.297896157401e-04 
       4.910225730055e+00       1.069262443962e-05      -1.211122589229e+00       3.308008183233e-04       2.713439546389e-08       6.783598865973e-08       4.696132579295e-14       1.356719773195e-08      -9.083419419218e-01       3.308008183525e-04       6.011580478777e-01       6.974905444565e-01      -1.211122568638e+00       3.307195690094e-04       2.169472144174e-04      -9.083419731575e-01       3.309650620656e-04 
       4.927707933751e+00       1.073104635748e-05      -1.211163603124e+00       3.319744817405e-04       2.742668896402e-08       6.856672241004e-08       4.780893792046e-14       1.371334448201e-08      -9.083727023429e-01       3.319744817726e-04       6.011574208424e-01       6.974822221116e-01      -1.211163580629e+00       3.318923574967e-04       2.184915335314e-04      -9.083727364653e-01       3.321404781131e-04 
       4.945190137446e+00       1.076947077476e-05      -1.211204624561e+00       3.331481025554e-04       2.772108312729e-08       6.930270781822e-08       4.866878359313e-14       1.386054156364e-08      -9.084034684211e-01       3.331481025904e-04       6.011567945916e-01       6.974739047203e-01      -1.211204600142e+00       3.330650971000e-04       2.200413161153e-04      -9.084035054609e-01       3.333158639204e-04 
       4.962672341141e+00       1.080789769145e-05      -1.211245654022e+00       3.343216807613e-04       2.801758560348e-08       7.004396400871e-08       4.954099558430e-14       1.400879280174e-08      -9.084342405167e-01       3.343216807993e-04       6.011561673842e-01       6.974655921622e-01      -1.211245627657e+00       3.342377877899e-04       2.215965619136e-04      -9.084342805049e-01       3.344912195234e-04 
       4.980154544837e+00       1.084632710756e-05      -1.211286691989e+00       3.354952163516e-04       2.831620404371e-08       7.079051010928e-08       5.042570763918e-14       1.415810202186e-08      -9.084650189917e-01       3.354952163925e-04       6.011555409719e-01       6.974572843165e-01      -1.211286663658e+00       3.354104295367e-04       2.231572706708e-04      -9.084650619594e-01       3.356665449584e-04 
       4.997636748532e+00       1.088475902308e-05      -1.211327738913e+00       3.366687093178e-04       2.861694610031e-08       7.154236525077e-08       5.132305447837e-14       1.430847305015e-08      -9.084958041849e-01       3.366687093618e-04       6.011549135016e-01       6.974489810699e-01      -1.211327708595e+00       3.365830223094e-04       2.247234421310e-04      -9.084958501635e-01       3.368418402593e-04 
       5.015118952227e+00       1.092319343801e-05      -1.211368795260e+00       3.378421596523e-04       2.891981942699e-08       7.229954856748e-08       5.223317180188e-14       1.445990971350e-08      -9.085265964454e-01       3.378421596995e-04       6.011542868093e-01       6.974406823058e-01      -1.211368762935e+00       3.377555660772e-04       2.262950760382e-04      -9.085266454665e-01       3.380171054611e-04 
       5.036417874494e+00       1.097002224039e-05      -1.211418828406e+00       3.392717403007e-04       2.929170723361e-08       7.322926808402e-08       5.335944127229e-14       1.464585361680e-08      -9.085641213045e-01       3.392717403518e-04       6.011535220236e-01       6.974305776522e-01      -1.211418793605e+00       3.391840335919e-04       2.282172105067e-04      -9.085641740755e-01       3.394489141962e-04 
       5.057716796761e+00       1.101685475266e-05      -1.211468876997e+00       3.407012576406e-04       2.966678370125e-08       7.416695925312e-08       5.450511811583e-14       1.483339185062e-08      -9.086016577481e-01       3.407012576958e-04       6.011527576863e-01       6.974204792864e-01      -1.211468839690e+00       3.406124282631e-04       2.301474520634e-04      -9.086017143167e-01       3.408806783655e-04 
       5.079015719028e+00       1.106369097483e-05      -1.211518941821e+00       3.421307116545e-04       3.004506267837e-08       7.511265669593e-08       5.567045366856e-14       1.502253133919e-08      -9.086392063659e-01       3.421307117138e-04       6.011519926218e-01       6.974103870113e-01      -1.211518901975e+00       3.420407500319e-04       2.320858002439e-04      -9.086392667800e-01       3.423123980286e-04 
       5.100314641295e+00       1.111053090688e-05      -1.211569023619e+00       3.435601023223e-04       3.042655801618e-08       7.606639504045e-08       5.685570146059e-14       1.521327900809e-08      -9.086767677140e-01       3.435601023858e-04       6.011512268976e-01       6.974003006412e-01      -1.211568981202e+00       3.434689988368e-04       2.340322545830e-04      -9.086768320221e-01       3.437440732421e-04 
       5.121613563562e+00       1.115737454883e-05      -1.211619123142e+00       3.449894296242e-04       3.081128356884e-08       7.702820892210e-08       5.806111722651e-14       1.540564178442e-08      -9.087143423562e-01       3.449894296919e-04       6.011504614145e-01       6.973902199877e-01      -1.211619078121e+00       3.448971746164e-04       2.359868146150e-04      -9.087144106072e-01       3.451757040633e-04 
       5.142912485828e+00       1.120422190066e-05      -1.211669241110e+00       3.464186935383e-04       3.119925319331e-08       7.799813298328e-08       5.928695891526e-14       1.559962659666e-08      -9.087519308322e-01       3.464186936105e-04       6.011496945801e-01       6.973801448704e-01      -1.211669193453e+00       3.463252773078e-04       2.379494798738e-04      -9.087520030754e-01       3.466072905472e-04 
