# Matter power spectrum P(k) at redshift z=0
# for k=1.03246e-05 to 8.71643 h/Mpc,
# number of wavenumbers equal to 619
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.573789258556e-01       8.159564675942e+02 
       3.604690599342e-01       8.031464142992e+02 
       3.635591944264e-01       7.906782524183e+02 
       3.666493293217e-01       7.784823938090e+02 
       3.697394646100e-01       7.663976736805e+02 
       3.728296002814e-01       7.544031253492e+02 
       3.759197363265e-01       7.424419504982e+02 
       3.790098727360e-01       7.304869266775e+02 
       3.821000095012e-01       7.185540473751e+02 
       3.851901466134e-01       7.066967167269e+02 
       3.882802840642e-01       6.949070763857e+02 
       3.913704218458e-01       6.832645969996e+02 
       3.944605599501e-01       6.718189779045e+02 
       3.975506983697e-01       6.606447655942e+02 
       4.006408370973e-01       6.497677203931e+02 
       4.037309761258e-01       6.392203347980e+02 
       4.068211154482e-01       6.290321772526e+02 
       4.099112550579e-01       6.192152984875e+02 
       4.130013949485e-01       6.097257990687e+02 
       4.160915351136e-01       6.005642856840e+02 
       4.191816755472e-01       5.916869033689e+02 
       4.222718162433e-01       5.830916192737e+02 
       4.253619571963e-01       5.747143128335e+02 
       4.284520984004e-01       5.665547139247e+02 
       4.315422398504e-01       5.585398442736e+02 
       4.346323815409e-01       5.506697583944e+02 
       4.377225234668e-01       5.428830857086e+02 
       4.408126656232e-01       5.351853751348e+02 
       4.439028080052e-01       5.275832860674e+02 
       4.469929506082e-01       5.200160468212e+02 
       4.500830934276e-01       5.125578577739e+02 
       4.531732364588e-01       5.051998021224e+02 
       4.562633796977e-01       4.979379242624e+02 
       4.593535231401e-01       4.907909861366e+02 
       4.624436667817e-01       4.837795625336e+02 
       4.655338106186e-01       4.769260393291e+02 
       4.686239546470e-01       4.702123688935e+02 
       4.717140988631e-01       4.636877770769e+02 
       4.748042432632e-01       4.573383800629e+02 
       4.778943878438e-01       4.511560503873e+02 
       4.809845326012e-01       4.451432871110e+02 
       4.840746775323e-01       4.392707096864e+02 
       4.871648226335e-01       4.335444091372e+02 
       4.902549679017e-01       4.279303768316e+02 
       4.933451133338e-01       4.224157512509e+02 
       4.964352589266e-01       4.169949882847e+02 
       4.995254046773e-01       4.116710875009e+02 
       5.026155505828e-01       4.064158607282e+02 
       5.057056966403e-01       4.012232239252e+02 
       5.087958428471e-01       3.961042671083e+02 
       5.118859892004e-01       3.910410408314e+02 
       5.149761356976e-01       3.860413660225e+02 
       5.180662823360e-01       3.811228468427e+02 
       5.211564291133e-01       3.762799259409e+02 
       5.242465760269e-01       3.715150541773e+02 
       5.273367230744e-01       3.668517527672e+02 
       5.304268702535e-01       3.622694595562e+02 
       5.335170175618e-01       3.577827484155e+02 
       5.366071649972e-01       3.533838908315e+02 
       5.396973125574e-01       3.490688658731e+02 
       5.427874602404e-01       3.448427011350e+02 
       5.458776080439e-01       3.407001218365e+02 
       5.489677559661e-01       3.366358062560e+02 
       5.520579040048e-01       3.326509484977e+02 
       5.551480521581e-01       3.287254723623e+02 
       5.582382004242e-01       3.248784207543e+02 
       5.613283488011e-01       3.210806558940e+02 
       5.644184972871e-01       3.173333660384e+02 
       5.675086458803e-01       3.136586491788e+02 
       5.705987945789e-01       3.100251083484e+02 
       5.736889433814e-01       3.064354719935e+02 
       5.767790922860e-01       3.029119334454e+02 
       5.798692412911e-01       2.994476965672e+02 
       5.829593903950e-01       2.960179170072e+02 
       5.860495395962e-01       2.926458468563e+02 
       5.891396888932e-01       2.893221045113e+02 
       5.922298382845e-01       2.860477318810e+02 
       5.953199877686e-01       2.828279847703e+02 
       5.984101373440e-01       2.796703558380e+02 
       6.015002870094e-01       2.765611146327e+02 
       6.045904367633e-01       2.735044635671e+02 
       6.076805866044e-01       2.705102202168e+02 
       6.107707365314e-01       2.675522041825e+02 
       6.138608865430e-01       2.646360033017e+02 
       6.169510366379e-01       2.617802132994e+02 
       6.200411868149e-01       2.589531245632e+02 
       6.231313370726e-01       2.561791401423e+02 
       6.262214874101e-01       2.534465855434e+02 
       6.293116378259e-01       2.507535272685e+02 
       6.324017883191e-01       2.481004440051e+02 
       6.354919388884e-01       2.454812898280e+02 
       6.385820895329e-01       2.428949032740e+02 
       6.416722402513e-01       2.403502371243e+02 
       6.447623910426e-01       2.378314195061e+02 
       6.478525419057e-01       2.353588286936e+02 
       6.509426928397e-01       2.329225004428e+02 
       6.540328438436e-01       2.305107859472e+02 
       6.571229949162e-01       2.281408896191e+02 
       6.602131460568e-01       2.258052504653e+02 
       6.633032972643e-01       2.235060197082e+02 
       6.663934485378e-01       2.212320006208e+02 
       6.694835998763e-01       2.189970545687e+02 
       6.725737512791e-01       2.167894476745e+02 
       6.756639027451e-01       2.146179503015e+02 
       6.787540542736e-01       2.124815390778e+02 
       6.818442058636e-01       2.103810652992e+02 
       6.849343575144e-01       2.082983944123e+02 
       6.880245092251e-01       2.062384456648e+02 
       6.911146609949e-01       2.042188182760e+02 
       6.942048128230e-01       2.022227320339e+02 
       6.972949647087e-01       2.002521906464e+02 
       7.003851166512e-01       1.983127923916e+02 
       7.034752686497e-01       1.963932933677e+02 
       7.065654207035e-01       1.945080510575e+02 
       7.096555728119e-01       1.926314872870e+02 
       7.127457249742e-01       1.907936423581e+02 
       7.158358771896e-01       1.889691073612e+02 
       7.189260294575e-01       1.871735348050e+02 
       7.220161817772e-01       1.854042030250e+02 
       7.251063341480e-01       1.836581798697e+02 
       7.281964865693e-01       1.819352352417e+02 
       7.312866390405e-01       1.802367451362e+02 
       7.343767915608e-01       1.785616222961e+02 
       7.374669441298e-01       1.769008006082e+02 
       7.405570967468e-01       1.752692327578e+02 
       7.436472494111e-01       1.736496478075e+02 
       8.181757062594e-01       1.402814896154e+02 
       9.293756876030e-01       1.051552955350e+02 
       1.109133608661e+00       7.006402502983e+01 
       1.382031462518e+00       4.189505493654e+01 
       1.739163396237e+00       2.424044839583e+01 
       2.189469483066e+00       1.388595392979e+01 
       2.756378756630e+00       7.889108026254e+00 
       3.470075261248e+00       4.449290198487e+00 
